summoner_id,champion_id,mastery_points
pNpoLdnQzB0ZQc_oYLcauV9e2vpZinQkAQ1cWjkG-OEEpUU,141,32017
4pXm3jCxrDohB5s1ukz1Cr5T9bgKn9-Sn0S4XTLPsdFBE4c,13,20970
dYM89wXINkc6c4mUGxvy2iRrKgFby4I0ZAgpllJIMf_SARc,43,16900
b-L3Aa6fyfDlUvMtY2yN7R4GGOz5tM2P4wQShOPcZwJ1Rp0,39,89254
5p-vH4nBfQFItC5LtD7snu51lWljTuLta-nu7XzUP27jew,133,62447
E1FvPiG6U3oOKH0su0PxuWqOsaw_4wMvFFRb46GuA5tToXc,41,1125
6vAp1BiqLAzAtNtyu5IwEW1ApfJ7KSaW0CnvCo8lGtwhAA,266,46721
2cPRkZQZcajFfZWAD1qmjDVRL_XRiehl9ufYgf1S8FCbTw,2,18992
leHtJDhZlFugodTERMTE-edPf8gb-FPLHJIt-EkNLBzl-cs,8,123440
Qb--H-ZgLK1Tg4J1acNvaZIV9w15uGo5UuWnXRxoJMWLzoE,8,10915
UpAaNrI2nvwX5IcQ1uHDjrjDisw6LN-JbPC3d9l77lMk2A,20,13660
gALckdEjJ8Jf5duKEOZn18MVIyAboJh8p6HWIrpA1s4feg,236,176691
R_-UihOYVAcNFr83kfhrBz4KZKTbATu0WAcymDDT4N1iTbE,79,152500
BiNGRzcCED4-bqmgKs7_tEWVTkqDpruRMzdpDDmOQapwGA,246,3936
XpB8bjrGBUGABG8NLF4LfVTYIN7fPEgPS8_tVgOpBkpoZl4,106,193900
oPl1A_qnG6_CXiaLQyWq4iq2qd96MUgzmG8cj0nQZWtfZqE,45,5236
YGDQJy3BQUiP9ZpYxphSGDea1c3jaZ5W_-hRuj77h4opxQ,421,274528
C-g3T-HkQfb6nQjUGv11xG6N4BaBKfL1RA_Qc-BXknZllA,10,12827
LqdgYZdTEeCXtur_YUjk-qTzRNdpvTVKTPvSfNzIDKc,86,42464
d-w2A0YFpnN9MBYKvDRDiCVZpdbpbH51bprIxkD9CEhqkJE,245,77200
u8GnhESjsZdBFwNRXJSnlI3RyLu3j3AQKve8YfTiP9dLxw,41,63306
4pXm3jCxrDohB5s1ukz1Cr5T9bgKn9-Sn0S4XTLPsdFBE4c,164,38914
pjfBJVMK-z5YkOg5pLUHAtf_nF2t1AzhPclUPJtgKLzdmA,105,66273
LgTrN_T5Xlpr9nH4AH-BYkgffbujqNyb1dIBQkE2yJNsrg,111,4577
Twx9Hw5_hJeVQ7Kcx3tphCF1zLOm6OlgnFWxCDP9MOkIgH4,23,1725551
7KhlzawBsOXV7_2A3YI8M8DSldNWWgwg9jxTsgP1kJEoQA,412,91149
SWssULBDAaAw960EN7XvnSMFeoCS38t-eQ05o8uNnA-vdQ,92,209023
eWAJS1gZnHG-hUosbKJWiVRsxzcfmEEvXb-KzCMbeYQt3g,145,246723
1UkzJmlDbOGF5elSvnN06TkixmjZIPUCe6OoVdWtdS_ggQ,69,1043028
CBFxQO1KYyQhEWjvYPuNMKOZNWPxikMpaQen-cE_3o1vjsY,10,9884
LUt6KqGVYDciCYqenGNsHiGUyEaP09KnRY-AUfxErY7M8ZY,17,814332
TE8iAynAcKfGY2z4TWxkZu8CcIdq3zrfUZR72JpX26o-GNop2Grxe36x,53,345
-zh5P6dwlDZ2LmE4NAktdhbk-RDV9o22RCb7E7NxYGY8dw,82,22748
