top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
30,9639.0,blue ,True,False,False,True,False,False,3,0,0,0,False,31,90105.0,25,852589.0,20,70930.0,82,6493.0
20,4432914.0,red  ,False,False,False,False,False,False,1,1,0,0,False,30,64823.0,10,35422.0,13,219331.0,64,32946.0
11,4432914.0,red  ,True,False,True,True,False,True,7,2,0,1,True,30,20124.0,21,13055.0,10,101968.0,56,855910.0
14,4432914.0,red  ,True,False,False,False,False,False,1,0,0,0,False,15,26423.0,11,392273.0,10,38513.0,36,30698.0
13,19814.0,red  ,True,True,True,False,True,False,4,5,1,0,False,42,55684.0,27,1004511.0,48,5039.0,82,49079.0
26,100987.0,blue ,False,True,True,True,False,False,4,2,0,0,False,29,16148.0,11,261717.0,21,320178.0,62,557556.0
19,1372910.0,red  ,False,False,True,False,True,True,9,3,1,2,True,34,1095983.0,21,222319.0,13,96221.0,41,223360.0
26,1372910.0,red  ,True,True,True,True,False,False,6,4,0,1,False,25,340297.0,35,16927.0,34,25849.0,83,28155.0
8,94771.0,blue ,True,True,True,False,True,True,9,2,1,2,True,22,2869295.0,20,14450.0,23,1605002.0,47,134673.0
12,1799887.0,blue ,True,True,False,True,True,False,5,1,1,0,False,19,259672.0,25,4643.0,28,1858.0,44,47214.0
14,159760.0,red  ,True,True,True,False,True,True,9,4,1,2,True,43,54214.0,25,33079.0,34,39020.0,57,1093.0
19,159760.0,blue ,False,False,False,True,False,False,3,0,0,0,False,22,42380.0,21,2794.0,23,65809.0,22,11577.0
22,57990.0,red  ,True,True,True,False,True,True,9,3,1,2,True,61,346862.0,15,42411.0,24,45569.0,75,15488.0
35,39067.0,red  ,True,False,False,True,True,True,11,3,1,4,True,54,66630.0,27,111641.0,24,98409.0,88,49005.0
21,11895.0,red  ,False,False,True,False,False,False,2,1,0,0,False,35,326922.0,25,1618985.0,23,422761.0,75,6243.0
31,6895.0,blue ,True,False,False,False,True,True,11,1,1,2,True,21,77720.0,28,39716.0,31,24320.0,54,197956.0
13,769082.0,red  ,False,True,True,False,False,False,1,1,0,0,False,5,73643.0,13,42756.0,19,4397.0,21,1235493.0
15,10831.0,red  ,True,True,True,True,False,True,9,3,0,1,True,25,24332.0,14,671391.0,23,392974.0,61,267407.0
20,21142.0,blue ,False,False,True,True,False,True,5,3,1,1,True,41,21852.0,24,8116730.0,11,277904.0,68,189536.0
27,6784.0,blue ,False,True,False,False,False,False,3,1,1,0,False,35,31169.0,24,1837277.0,29,157151.0,58,6404.0
16,22993.0,blue ,True,True,False,False,False,False,9,2,1,2,True,52,1019440.0,14,1935.0,36,231322.0,81,24617.0
22,7520.0,red  ,True,True,True,False,True,True,11,2,1,3,True,29,359183.0,13,549758.0,13,65997.0,42,170582.0
14,112157.0,red  ,False,False,False,True,False,False,4,1,0,0,False,40,76420.0,21,83775.0,16,75741.0,40,19256.0
20,5691822.0,red  ,True,False,False,True,False,False,1,0,0,0,False,14,32656.0,9,2209961.0,4,27530.0,39,78990.0
19,871459.0,red  ,False,False,False,False,True,True,11,3,1,2,True,24,107773.0,33,1026814.0,25,1796649.0,52,17827.0
19,871459.0,blue ,False,False,False,False,False,False,2,0,0,0,False,21,7458.0,12,141860.0,21,115207.0,26,1681.0
13,1045371.0,blue ,False,False,False,False,False,False,1,1,0,0,True,12,126924.0,24,188381.0,14,91636.0,38,1500204.0
13,1045371.0,red  ,True,False,True,True,True,True,9,2,1,1,True,26,126924.0,30,18261.0,6,18452.0,42,16106.0
21,30980.0,red  ,True,True,True,True,True,True,11,4,1,2,True,34,666653.0,23,33361.0,29,41805.0,61,347036.0
12,9416.0,red  ,False,False,False,False,False,False,0,0,0,0,False,16,66630.0,13,9837.0,12,39020.0,34,18478.0
21,26453.0,blue ,True,True,False,True,True,True,9,2,1,1,True,25,50608.0,30,852589.0,16,2418.0,62,17772.0
17,145061.0,red  ,False,True,True,False,False,False,1,1,0,0,False,24,22576.0,17,133484.0,14,62925.0,59,20641.0
22,51947.0,red  ,True,False,False,False,True,False,2,0,1,0,False,25,81565.0,24,2381932.0,14,136927.0,23,266459.0
22,1295381.0,blue ,True,True,False,False,True,True,7,1,1,1,True,33,44467.0,20,26637.0,30,80858.0,73,181711.0
9,463374.0,red  ,False,True,True,False,False,False,0,1,0,0,False,32,6373.0,17,19028.0,13,48629.0,38,21560.0
12,16181.0,red  ,True,False,True,True,False,False,4,1,0,0,True,15,62723.0,20,671391.0,14,81835.0,35,561595.0
12,16181.0,red  ,False,True,True,False,False,False,3,1,0,0,False,24,300878.0,14,841696.0,18,203650.0,39,26220.0
23,314021.0,red  ,False,True,False,False,True,True,11,1,2,5,True,40,9214.0,23,95237.0,48,30319.0,88,110913.0
18,131911.0,red  ,False,True,False,False,True,True,6,1,1,1,False,36,275618.0,25,61251.0,28,63021.0,67,799132.0
28,668500.0,blue ,True,True,False,True,False,True,10,2,0,2,True,36,9454.0,17,82785.0,33,28014.0,62,14519.0
27,493823.0,red  ,True,True,True,True,True,True,10,2,1,1,True,47,37431.0,26,29552.0,18,105266.0,41,333835.0
24,943777.0,blue ,True,False,True,True,True,True,10,3,1,2,True,25,847207.0,9,41572.0,16,492732.0,44,385091.0
30,943777.0,red  ,True,False,False,True,False,False,4,1,0,0,False,16,77720.0,15,200693.0,13,28014.0,54,19146.0
